time,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w
2022/08/16/12:40:24.157769,-0.001011968,-0.000278835,0.000508824,-0.000249492,4.63E-05,0.999999881
2022/08/16/12:40:24.257664,0.002935511,-4.17E-05,0.000693532,-0.000206552,3.86E-05,0.999999762
2022/08/16/12:40:24.357690,-0.000420811,-0.00076828,0.000582469,-0.000309276,7.47E-05,0.999999821
2022/08/16/12:40:24.457876,0.001603573,-0.000734943,0.000802187,-0.000247269,0.000146702,0.999999642
2022/08/16/12:40:24.558154,0.002347441,-0.000297596,0.00070009,-9.26E-05,0.000198749,0.999999762
2022/08/16/12:40:24.658133,0.000905286,-0.000525307,0.000491157,-0.000418443,9.92E-05,0.999999821
2022/08/16/12:40:24.758306,0.001598312,-0.000382832,0.000555327,-0.000303815,9.99E-05,0.999999821
2022/08/16/12:40:24.858315,0.002996929,0.000289462,0.000747225,-9.35E-05,6.07E-05,0.999999762
2022/08/16/12:40:24.958564,0.002396954,-0.000158219,0.000895715,-0.00028669,0.000109675,0.999999583
2022/08/16/12:40:25.058452,0.001577739,-0.000362799,0.000571873,-0.000236267,8.07E-05,0.999999821
2022/08/16/12:40:25.158604,-0.001175913,0.000323592,0.00058403,-0.000227833,1.61E-05,0.999999821
2022/08/16/12:40:25.258717,0.001619583,-0.000814488,0.000432656,-0.000272451,0.000179248,0.999999881
2022/08/16/12:40:25.358728,-0.000665099,-0.000666269,0.000267336,-0.000469422,0.000140709,0.999999881
2022/08/16/12:40:25.458797,-0.000484128,0.000672601,0.000880328,-0.000150846,5.24E-05,0.999999642
2022/08/16/12:40:25.558868,0.0028735,-0.000970618,0.000846162,-0.000233079,0.000187509,0.999999642
2022/08/16/12:40:25.659116,-0.000716688,0.000974737,0.000893661,-0.000247375,0.000103993,0.999999583
2022/08/16/12:40:25.760329,0.00312976,-0.00205332,0.00028475,-0.000346958,0.00026678,0.999999881
2022/08/16/12:40:25.861368,0.00205173,0.000291491,0.000923969,-0.000223946,0.000129538,0.999999583
2022/08/16/12:40:25.962192,0.002114192,-0.000384078,0.000673505,-0.000228026,0.000142753,0.999999762
2022/08/16/12:40:26.062273,0.002230549,0.000465516,0.000716978,-0.000147491,8.83E-05,0.999999762
2022/08/16/12:40:26.162425,-0.002820112,-8.94E-05,0.000578671,-0.000347646,5.51E-05,0.999999821
2022/08/16/12:40:26.262519,0.001026749,-0.00032906,0.000799726,-0.000382237,8.71E-05,0.999999642
2022/08/16/12:40:26.362621,0.00301957,8.75E-05,0.000906488,-0.000234713,7.55E-05,0.999999583
2022/08/16/12:40:26.464677,0.000379573,-0.000426547,0.000634979,-0.000101903,0.000115836,0.999999821
2022/08/16/12:40:26.565402,0.00071291,-0.000204923,0.000811574,-0.000184867,0.000140447,0.999999702
2022/08/16/12:40:26.659954,0.003680574,-0.00144841,0.000661288,-0.000245412,0.000177244,0.999999702
2022/08/16/12:40:26.760192,0.00367706,-0.001113594,0.000611948,-0.000254268,0.00019258,0.999999821
2022/08/16/12:40:26.859592,0.00284503,-0.000480156,0.000692499,-0.00022294,0.000185557,0.999999762
2022/08/16/12:40:26.959482,0.004503332,-0.000493787,0.000878464,-0.000164653,0.000160317,0.999999642
2022/08/16/12:40:27.059261,0.001120046,0.000946032,0.000880366,-0.000481085,5.20E-05,0.999999464
2022/08/16/12:40:27.159516,-0.000440561,0.000101476,0.000670576,-0.000233847,2.01E-05,0.999999821
2022/08/16/12:40:27.259500,-0.001025399,7.81E-05,0.000698053,-0.000222211,7.56E-05,0.999999821
2022/08/16/12:40:27.359464,0.002138316,0.000576227,0.00079331,-0.000240774,9.18E-05,0.999999702
2022/08/16/12:40:27.459515,-0.000964039,0.000222561,0.000971866,-5.71E-05,0.000104255,0.999999523
2022/08/16/12:40:27.559481,0.000857306,0.000577411,0.000837189,-0.000184121,7.17E-05,0.999999642
2022/08/16/12:40:27.659389,0.003566685,-6.55E-05,0.00067347,0.000101234,0.000192447,0.999999762
2022/08/16/12:40:27.759756,-2.38E-08,-0.000802671,0.000659649,-0.000223564,8.28E-05,0.999999762
2022/08/16/12:40:27.859428,0.002021257,-0.000701165,0.000916851,-0.000134979,0.000212008,0.999999642
2022/08/16/12:40:27.959460,0.000989239,0.000974595,0.000751911,-0.000304306,5.64E-05,0.999999642
2022/08/16/12:40:28.059379,-0.000405576,0.000830247,0.000620489,-0.000181967,9.56E-06,0.999999881
2022/08/16/12:40:28.159593,0.000103139,-0.000132297,0.000628729,-0.000243746,0.000121621,0.999999881
2022/08/16/12:40:28.260192,-0.00153811,-8.36E-05,0.000836564,-0.000132811,6.60E-05,0.999999642
2022/08/16/12:40:28.360016,0.001422286,7.31E-05,0.000615759,-0.000256031,0.000105869,0.999999762
2022/08/16/12:40:28.459993,-0.000562151,6.35E-05,0.000581812,-0.000256883,9.21E-05,0.999999762
2022/08/16/12:40:28.559941,-0.002084936,0.000781629,0.000830274,-0.000214874,3.50E-05,0.999999702
2022/08/16/12:40:28.659935,0.000449975,-0.000396673,0.000566154,-0.000360859,0.000104904,0.999999821
2022/08/16/12:40:28.760311,-0.001886374,-0.000620859,0.000712446,-6.33E-05,0.000102271,0.999999821
2022/08/16/12:40:28.860096,0.002343699,-0.000961402,0.000482027,-0.00021397,0.000146538,0.999999881
2022/08/16/12:40:28.959919,0.00106875,-0.00030412,0.000401827,-0.000222774,0.00011854,1
2022/08/16/12:40:29.059513,0.000536257,-0.001082152,0.00042031,-5.82E-05,0.000127992,1
2022/08/16/12:40:29.159310,-0.001916348,-0.000411198,0.000438548,-0.000254854,8.50E-05,0.999999881
2022/08/16/12:40:29.259134,0.001203051,-0.000316744,0.000604691,-0.000451334,0.000132788,0.999999702
2022/08/16/12:40:29.358865,-0.000656775,1.74E-05,0.000883385,-0.00020133,0.000132932,0.999999642
2022/08/16/12:40:29.460292,0.002306381,-0.000519811,0.000534795,-0.000261838,0.000148748,0.999999881
2022/08/16/12:40:29.561186,0.001203906,-0.000495312,0.000650586,-0.00020382,0.000209328,0.999999821
2022/08/16/12:40:29.662411,0.003293155,-0.000442555,0.00082295,-0.000354714,0.00018491,0.999999642
2022/08/16/12:40:29.762767,0.002693842,3.12E-05,0.00078494,-0.000321193,0.000136597,0.999999702
2022/08/16/12:40:29.863620,-0.000287963,-0.000273563,0.000597348,-0.00026302,0.000140811,0.999999762
2022/08/16/12:40:29.963856,0.001475983,-0.000179795,0.000731115,-0.000274011,0.000179772,0.999999762
2022/08/16/12:40:30.064085,0.001696291,-4.94E-05,0.000693258,-0.000329331,0.000166812,0.999999762
2022/08/16/12:40:30.164167,0.003613596,-0.000256362,0.000802559,-0.000335266,0.000203059,0.999999702
2022/08/16/12:40:30.265049,0.004280309,0.000133039,0.00095093,-9.80E-05,0.000212389,0.999999523
2022/08/16/12:40:30.362420,0.002765198,-0.000237183,0.00073962,-0.000259135,0.00017621,0.999999702
2022/08/16/12:40:30.460047,0.00330217,-0.000900809,0.000711672,-0.000168384,0.000254218,0.999999762
2022/08/16/12:40:30.560015,0.003211377,-0.000878009,0.000682616,-0.000231556,0.000235975,0.999999762
2022/08/16/12:40:30.660349,9.82E-05,0.000163325,0.000630649,-0.00024778,9.59E-05,0.999999762
2022/08/16/12:40:30.760360,0.001810366,-0.001486023,0.000440576,-0.000174333,0.00014756,0.999999881
2022/08/16/12:40:30.859607,0.001541866,0.000352602,0.001089093,-0.000189024,0.000158907,0.999999464
2022/08/16/12:40:30.959401,0.005206537,-0.000345365,0.000995998,-2.22E-05,0.000214836,0.999999523
2022/08/16/12:40:31.059558,0.00243878,-0.000519406,0.000685768,-0.00014193,0.000133177,0.999999762
2022/08/16/12:40:31.159518,0.000458628,-7.42E-05,0.000656994,-0.000385494,0.000112799,0.999999762
2022/08/16/12:40:31.259821,0.000644573,-0.000869902,0.000460474,-0.000275312,0.000246564,0.999999762
2022/08/16/12:40:31.360262,0.001914223,-8.43E-05,0.000895243,-0.000198338,0.000170116,0.999999642
2022/08/16/12:40:31.460093,0.003887665,0.000102975,0.000526192,-0.000236727,0.000164252,0.999999881
2022/08/16/12:40:31.560216,0.002731712,-0.000759924,0.000880397,-2.43E-05,0.000252285,0.999999523
2022/08/16/12:40:31.660259,0.000781757,3.52E-05,0.00075394,-0.000232369,0.00010258,0.999999762
2022/08/16/12:40:31.760199,-0.001329237,0.000752143,0.000747133,-0.000261178,6.31E-05,0.999999642
2022/08/16/12:40:31.859603,0.000214412,0.000188479,0.000642252,-0.000254021,0.000111119,0.999999762
2022/08/16/12:40:31.959219,0.002487048,-0.00067663,0.000789063,-0.000269762,0.000205202,0.999999702
2022/08/16/12:40:32.059736,0.000808916,-3.34E-05,0.00042804,-0.000369372,0.000119453,0.999999881
2022/08/16/12:40:32.159942,0.00391586,-0.000653578,0.000826888,-0.000138136,0.000211052,0.999999702
2022/08/16/12:40:32.259737,0.003860379,-0.00099343,0.000448101,-0.000252098,0.000148372,0.999999881
2022/08/16/12:40:32.359585,0.000562527,0.000708279,0.000951602,-0.000163663,0.000115044,0.999999583
2022/08/16/12:40:32.459587,-0.000913518,-0.000428622,0.000404524,-0.000446923,0.000146845,0.999999881
2022/08/16/12:40:32.559942,-0.000109747,0.000387661,0.000889662,-1.05E-05,0.000131845,0.999999642
2022/08/16/12:40:32.660091,0.005388611,-0.000960276,0.000700031,-0.000200358,0.000226244,0.999999762
2022/08/16/12:40:32.760007,0.002066853,-0.000270424,0.000415242,-0.000161509,0.000121281,1
2022/08/16/12:40:32.860010,0.003051094,-0.000738493,0.000691462,-0.000176175,0.000165391,0.999999762
2022/08/16/12:40:32.960119,0.001526957,-0.001309554,0.000450966,-0.00019761,0.000164762,0.999999881
2022/08/16/12:40:33.060250,0.003527407,-0.00119986,0.0007917,-5.95E-05,0.000228712,0.999999702
2022/08/16/12:40:33.161504,0.003266549,7.11E-05,0.000880562,-0.000114064,0.000193839,0.999999642
2022/08/16/12:40:33.262507,-2.20E-05,-0.000174508,0.000647053,-7.82E-05,0.000126017,0.999999762
2022/08/16/12:40:33.362397,-0.004068065,0.000376486,0.000816646,-0.000228348,0.000102079,0.999999702
2022/08/16/12:40:33.462804,0.006239315,-0.000586789,0.000854274,-0.000237181,0.000264122,0.999999642
2022/08/16/12:40:33.562932,0.001547356,-0.000168888,0.000741064,-0.000225357,0.000111417,0.999999762
2022/08/16/12:40:33.663763,0.003143214,-0.000396416,0.000791762,-0.000251374,0.000219483,0.999999702
2022/08/16/12:40:33.764187,0.002257546,-0.001563536,0.000607564,-0.000262018,0.000202474,0.999999762
2022/08/16/12:40:33.863490,0.000529343,0.000673039,0.000668427,-0.000304291,9.04E-05,0.999999762
2022/08/16/12:40:33.959708,0.00211651,0.000213958,0.00077849,-0.000257195,0.000124714,0.999999642
