Time,ax,ay,AngleZ
 08:58:30.880,0,0.0063,-97.1191
 08:58:30.950,0.0039,0.002,-97.1027
 08:58:31.060,0.0063,0.0005,-97.0807
 08:58:31.146,0.002,0.0029,-97.0587
 08:58:31.256,0.0054,0.0024,-97.0477
 08:58:31.351,0.0059,-0.0015,-97.0258
 08:58:31.457,0.0078,-0.001,-97.0038
 08:58:31.552,0.0044,0.002,-96.9873
 08:58:31.648,0.0054,0.0039,-96.9708
 08:58:31.747,-0.001,-0.0015,-96.9489
 08:58:31.855,-0.0034,-0.0054,-96.9324
 08:58:31.952,-0.0015,0.0088,-96.9269
 08:58:32.048,-0.0073,-0.0093,-96.9104
 08:58:32.159,0.0166,0.0059,-96.8939
 08:58:32.257,0,0.0078,-96.8774
 08:58:32.370,0.002,-0.0088,-96.861
 08:58:32.456,0.0073,0.0039,-96.8445
 08:58:32.556,0.0225,-0.0029,-96.8335
 08:58:32.651,0.021,-0.0098,-96.817
 08:58:32.767,0.002,-0.0005,-96.8005
 08:58:32.849,0.0005,-0.002,-96.7841
 08:58:32.981,0.0103,-0.0122,-96.7676
 08:58:33.049,-0.0024,-0.0005,-96.7401
 08:58:33.157,0.0132,0.0059,-96.7291
 08:58:33.250,0.0039,-0.0029,-96.6797
 08:58:33.368,-0.0024,-0.0063,-96.6138
 08:58:33.451,0.0044,-0.0083,-96.5918
 08:58:33.555,0.0068,-0.0039,-96.5808
 08:58:33.651,-0.0024,-0.0083,-96.5643
 08:58:33.754,-0.0063,-0.0137,-96.5918
 08:58:33.851,-0.0034,-0.0132,-96.6577
 08:58:33.951,0,-0.0176,-96.7841
 08:58:34.052,0.0093,-0.0044,-96.9598
 08:58:34.152,0.0054,0.0059,-97.0972
 08:58:34.252,0.001,-0.0107,-97.207
 08:58:34.352,0.0039,-0.001,-97.3224
 08:58:34.452,0.0063,-0.0005,-97.4323
 08:58:34.552,0.0146,-0.0078,-97.5421
 08:58:34.652,0.0117,-0.002,-97.663
 08:58:34.752,0.0088,-0.0098,-97.7783
 08:58:34.842,0.0103,-0.0078,-97.9047
 08:58:34.942,0.0146,0.0015,-98.031
 08:58:35.039,-0.0039,0.0015,-98.1464
 08:58:35.137,-0.0083,0.0073,-98.1903
 08:58:35.249,-0.0107,-0.0005,-98.1903
 08:58:35.350,-0.0059,-0.0122,-98.1793
 08:58:35.451,0.001,0,-98.1683
 08:58:35.544,-0.0044,-0.0054,-98.1519
 08:58:35.672,-0.0068,-0.0098,-98.1409
 08:58:35.735,-0.0054,-0.002,-98.1189
 08:58:35.846,-0.002,-0.0093,-98.1079
 08:58:35.946,-0.0078,-0.0039,-98.0859
 08:58:36.041,0.002,0,-98.064
 08:58:36.138,0.001,-0.0083,-98.0475
 08:58:36.240,0.0015,0.002,-98.0365
 08:58:36.343,0.002,-0.002,-98.02
 08:58:36.472,-0.0063,-0.001,-97.998
 08:58:36.540,-0.0073,0.0005,-97.9761
 08:58:36.637,0.0088,-0.0054,-97.9541
 08:58:36.745,0.0054,-0.002,-97.9431
 08:58:36.840,0.002,-0.0039,-97.9266
 08:58:36.942,-0.0039,-0.0063,-97.9156
 08:58:37.039,-0.0112,-0.0005,-97.8882
 08:58:37.142,-0.0166,-0.0068,-97.8662
 08:58:37.238,-0.0161,-0.0093,-97.8552
 08:58:37.335,-0.0098,-0.0024,-97.8387
 08:58:37.439,0.0005,-0.0063,-97.8223
 08:58:37.539,0.0059,-0.0049,-97.8168
 08:58:37.634,0.0068,-0.0015,-97.7948
 08:58:37.744,0.0044,-0.0054,-97.7783
 08:58:37.838,0.0073,-0.0063,-97.7563
 08:58:37.939,0.0029,-0.0039,-97.7344
 08:58:38.033,0.0137,-0.0029,-97.7234
 08:58:38.130,0.0117,-0.0073,-97.7179
 08:58:38.240,0.0088,-0.0039,-97.7179
 08:58:38.349,0.002,0.0034,-97.7124
 08:58:38.430,0.0029,-0.0054,-97.6904
 08:58:38.538,0.002,-0.001,-97.674
 08:58:38.633,0.0059,-0.0024,-97.641
 08:58:38.731,0.001,-0.0034,-97.63
 08:58:38.831,0,-0.0039,-97.6025
 08:58:38.942,0,-0.0015,-97.5916
 08:58:39.036,-0.0059,-0.0034,-97.5641
 08:58:39.157,-0.0068,-0.0063,-97.5476
 08:58:39.238,-0.0063,-0.002,-97.5311
